RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
25,Detroit Pistons,82,19855,39.5,89.9,0.44,12.3,35.4,0.348,27.2,54.4,0.5,17.6,23.5,0.747,11.6,34.2,45.8,22.9,7.1,4.1,14.1,22.5,109,2019
26,Miami Heat,82,19730,40.3,89.4,0.45,11.5,32.9,0.349,28.8,56.5,0.509,15.3,22.1,0.695,11.4,35.6,47.1,24.7,7.8,5.5,15,21.2,107.3,2019
27,Chicago Bulls,82,19905,39.8,87.8,0.453,9.1,25.9,0.351,30.7,61.9,0.496,16.2,20.6,0.783,8.7,34.1,42.8,21.9,7.3,4.3,14.1,20.3,104.8,2019
28,New York Knicks,82,19780,38.2,88.2,0.433,10,29.5,0.34,28.2,58.7,0.479,18.1,23.8,0.759,10.4,34.2,44.7,20.1,6.8,5.1,14,20.9,104.5,2019
29,Cleveland Cavaliers,82,19755,40.1,90.3,0.444,10.6,30,0.355,29.4,60.3,0.488,16.9,21.3,0.792,11,32.9,44,21.3,6.7,2.5,13.9,20.6,107.7,2019
30,Memphis Grizzlies,82,19880,38.9,86.5,0.45,10.1,29.6,0.342,28.8,56.9,0.505,18.2,23.5,0.772,9,33.8,42.8,24.5,8.5,5.6,14.3,22.5,106.1,2019
1,Dallas Mavericks,75,18175,41.5,90,0.461,15.1,41.1,0.367,26.4,48.9,0.541,18.5,23.8,0.779,10.5,36.3,46.8,24.6,6.1,4.8,12.7,19.4,116.7,2020
2,Milwaukee Bucks,73,17595,41,86.1,0.476,13.1,36.9,0.355,27.9,49.3,0.567,17.3,23.4,0.742,9,40,49,24.5,6.8,5.6,14.3,18.6,112.4,2020
3,Portland Trail Blazers,74,17835,41.7,90.2,0.463,12.7,33.7,0.377,29,56.4,0.514,17.5,21.8,0.804,10.1,34.7,44.8,20.4,6.2,6,12.6,21.5,113.7,2020
4,Houston Rockets,72,17380,39.1,86.7,0.451,15,43.4,0.345,24.1,43.3,0.557,19.8,25,0.791,9.4,33.1,42.4,20.7,8.3,4.9,14.1,20.8,112.9,2020
5,Los Angeles Clippers,72,17380,40.7,87.4,0.466,12.2,32.8,0.371,28.5,54.6,0.522,20.4,25.8,0.791,10.4,36.2,46.7,23.2,6.9,4.6,14.3,21.7,113.9,2020
6,New Orleans Pelicans,72,17430,40.7,87.6,0.465,13,35.3,0.37,27.6,52.3,0.528,16.3,22.4,0.729,10.6,33.9,44.4,25.6,7.2,4.8,15.7,20.2,110.7,2020
7,Phoenix Suns,73,17595,40.5,86.5,0.468,11.2,31.2,0.358,29.3,55.3,0.529,19.5,23.4,0.834,9.6,33.2,42.8,26.7,7.5,3.9,14.5,21.7,111.7,2020
8,Washington Wizards,72,17355,40.3,88.1,0.457,11.6,31.6,0.368,28.6,56.6,0.506,18.8,23.8,0.788,9.9,30.9,40.8,24.3,7.7,4.2,13.7,22,110.9,2020
9,Memphis Grizzlies,73,17570,41.3,88.1,0.468,10.6,30.5,0.347,30.7,57.6,0.532,16.1,21.1,0.763,10,35.1,45.1,26.1,7.7,5.3,14.8,20.5,109.2,2020
10,Boston Celtics,72,17430,41.1,89.3,0.461,12.5,34.4,0.364,28.6,54.8,0.522,18.5,23.1,0.801,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3,2020
11,Miami Heat,73,17745,39.6,84.7,0.468,13.5,35.5,0.379,26.1,49.2,0.532,19.8,25.3,0.783,8.5,36,44.5,26,7.5,4.6,15,20.6,112.5,2020
12,Denver Nuggets,73,17745,42.7,90.4,0.473,11.2,31.1,0.359,31.6,59.2,0.533,16.5,21.3,0.777,10.9,33.9,44.9,27.2,8.2,4.7,14,20.7,113.1,2020
13,Toronto Raptors,72,17380,39.6,86.6,0.458,13.6,36.4,0.374,26,50.2,0.519,18.2,22.9,0.796,9.4,35.3,44.7,24.9,8.7,4.9,14.6,21.3,111.1,2020
14,San Antonio Spurs,71,17215,41.6,88.1,0.472,10.5,28,0.376,31,60.1,0.516,18.7,23.1,0.81,8.9,35.1,44,24.3,7.2,5.4,12.4,19.1,112.4,2020
15,Philadelphia 76ers,73,17595,41.3,88.4,0.468,11.7,31.8,0.368,29.6,56.6,0.524,17,22.6,0.755,10.5,35.2,45.7,26,8.1,5.4,14.3,21.1,111.3,2020
16,Los Angeles Lakers,71,17090,41.8,87.2,0.48,10.9,31.2,0.349,30.9,56,0.552,17.5,24,0.729,10.5,34.6,45.2,25.1,8.5,6.5,15,20.5,112,2020
17,Brooklyn Nets,72,17480,39.4,88,0.448,12.7,37.2,0.343,26.6,50.8,0.524,17.5,23.4,0.745,10.4,36.3,46.7,23.8,6.3,4.4,14.9,20.4,108.9,2020
18,Utah Jazz,72,17355,40.5,85.9,0.471,13.5,35.6,0.38,27,50.4,0.535,17.9,23,0.779,9.2,36.1,45.3,22.6,6.1,4.1,15.3,20.6,112.3,2020
19,Indiana Pacers,73,17620,42.3,88.9,0.476,10.2,28.2,0.363,32.1,60.7,0.529,15.1,19.2,0.787,8.8,34.3,43,26,7.5,5.2,13.3,19.9,110,2020
20,Oklahoma City Thunder,72,17430,40.1,85.8,0.468,10.7,30.3,0.355,29.4,55.6,0.529,19.8,24.9,0.796,8.3,34.8,43,21.8,7.7,4.9,13.7,19.4,110.8,2020
21,Sacramento Kings,72,17455,40.9,88.4,0.462,12.7,34.9,0.364,28.2,53.5,0.527,15.7,20.3,0.77,9.7,33,42.6,23.8,7.7,4.1,14.5,22.2,110.2,2020
22,Orlando Magic,73,17570,39.8,89.6,0.444,11.2,32.6,0.343,28.6,57,0.502,17.8,22.9,0.774,10.4,34.6,45,24.2,8.3,5.5,13,18.5,108.5,2020
23,Atlanta Hawks,67,16280,39,86.8,0.449,11.5,34.6,0.333,27.4,52.2,0.525,17.7,22.4,0.79,9.5,32,41.5,23,7.5,4.9,15.5,22.2,107.2,2020
24,Minnesota Timberwolves,64,15560,38.6,87.5,0.441,12.7,37.9,0.336,25.9,49.6,0.521,18.2,24.2,0.753,10.1,32.7,42.8,22.7,8.3,5.4,14.6,20.4,108.1,2020
25,Detroit Pistons,66,15965,40,87.2,0.459,12.2,33.2,0.367,27.8,53.9,0.515,16.9,22.7,0.743,9.9,32.5,42.4,24.5,7.5,4.6,15.5,20,109,2020
26,New York Knicks,66,15965,40.2,89.9,0.447,9.6,28.5,0.337,30.6,61.4,0.499,16.4,23.6,0.694,12.1,34.7,46.8,22.2,7.7,4.8,14.4,22.3,106.5,2020
27,Cleveland Cavaliers,65,15725,40.5,88.4,0.458,11.2,32,0.351,29.3,56.4,0.519,15.2,20,0.758,10.9,33.6,44.5,23.2,6.9,3.3,16.6,18.4,107.5,2020
28,Chicago Bulls,65,15675,39.5,88.5,0.447,12.2,35.1,0.348,27.3,53.5,0.511,15.5,20.5,0.755,10.4,31.4,41.8,23.2,10,4.1,15.4,21.8,106.7,2020
29,Golden State Warriors,65,15725,38.2,87.2,0.438,10.3,30.9,0.334,27.9,56.3,0.495,18.5,23,0.803,9.8,32.5,42.4,25.3,8.1,4.5,14.7,19.8,105.2,2020
30,Charlotte Hornets,65,15750,38.6,88.8,0.434,12.5,35.5,0.352,26.1,53.4,0.489,16.7,22.4,0.748,11.4,32.9,44.2,24.6,6.8,4.3,15.1,19.5,106.3,2020
